zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1303,softening-ubiquitous,2659,86.97577679,-112.5786762,0.04174291745,0.02815898003,-5244076.926,-4222025.108,-708336.5634,0
1303,softening-ubiquitous,2557,89.84424578,-78.1289062,-0.04719820239,0.03627155916,-5244076.926,-4222025.108,-708336.5634,0
1303,softening-ubiquitous,2661,94.8669177,-84.02562152,-0.03143168899,0.04958603566,-5244076.926,-4222025.108,-708336.5634,0
1304,softening-ubiquitous,2557,89.84424578,-78.1289062,-0.04719820239,0.03627155916,-5768139.17,-4700392.751,-1197745.833,0
1304,softening-ubiquitous,2661,94.8669177,-84.02562152,-0.03143168899,0.04958603566,-5768139.17,-4700392.751,-1197745.833,0
1304,softening-ubiquitous,2559,89.84424578,-39.0642758,-0.1575846767,0.03509830167,-5768139.17,-4700392.751,-1197745.833,0
1304,softening-ubiquitous,2663,94.8669177,-42.77711367,-0.1466006901,0.04912355425,-5768139.17,-4700392.751,-1197745.833,0
1305,softening-ubiquitous,2559,89.84424578,-39.0642758,-0.1575846767,0.03509830167,-5527424.429,-6642712.439,-1570121.622,0
1305,softening-ubiquitous,2663,94.8669177,-42.77711367,-0.1466006901,0.04912355425,-5527424.429,-6642712.439,-1570121.622,0
1305,softening-ubiquitous,2561,89.84424578,0.0003545928948,-0.2687301723,0.02378001096,-5527424.429,-6642712.439,-1570121.622,0
1305,softening-ubiquitous,2665,94.8669177,-1.528605829,-0.2636959106,0.03736225917,-5527424.429,-6642712.439,-1570121.622,0
1306,softening-ubiquitous,2561,89.84424578,0.0003545928948,-0.2687301723,0.02378001096,-5291781.893,-8145423.17,-1121741.936,0
1306,softening-ubiquitous,2665,94.8669177,-1.528605829,-0.2636959106,0.03736225917,-5291781.893,-8145423.17,-1121741.936,0
1306,softening-ubiquitous,2563,89.84424578,27.35,-0.3364712025,0.01095216308,-5291781.893,-8145423.17,-1121741.936,0
1306,softening-ubiquitous,2667,94.8669177,27.35,-0.3354735432,0.02226814404,-5291781.893,-8145423.17,-1121741.936,0
1307,softening-ubiquitous,2563,89.84424578,27.35,-0.3364712025,0.01095216308,-5484568.356,-8309019.128,-787528.6195,0
1307,softening-ubiquitous,2667,94.8669177,27.35,-0.3354735432,0.02226814404,-5484568.356,-8309019.128,-787528.6195,0
1307,softening-ubiquitous,2565,89.82648697,39.16352739,-0.3610722923,0.005565913389,-5484568.356,-8309019.128,-787528.6195,0
1307,softening-ubiquitous,2669,94.85794176,39.825239,-0.3613711935,0.01526657856,-5484568.356,-8309019.128,-787528.6195,0
1308,softening-ubiquitous,2565,89.82648697,39.16352739,-0.3610722923,0.005565913389,-5322780.229,-8017084.118,-594640.1888,0
